custom_header(HHMMSSID),domain,resolved_ip
02464700,_apple-mobdev._tcp.local.,192.168.1.11
02464701,_apple-mobdev._tcp.local.,192.168.1.12
02464702,twitter.com.,192.168.1.13
02470203,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.14
02470204,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.15
02471205,example.com.,192.168.1.11
02471906,netflix.com.,192.168.1.12
02472207,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.13
02472208,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.14
02473709,linkedin.com.,192.168.1.15
02474110,_apple-mobdev._tcp.local.,192.168.1.11
02474311,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.12
02474312,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.13
02475113,reddit.com.,192.168.1.14
02475914,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.15
02475915,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.11
02480116,_apple-mobdev._tcp.local.,192.168.1.12
02480117,_apple-mobdev._tcp.local.,192.168.1.13
02481118,openai.com.,192.168.1.14
02481519,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.15
02481520,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.11
02481621,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.12
02481622,Brother MFC-7860DW._pdl-datastream._tcp.local.,192.168.1.13
